Ingredient,Flavors
Polar bear,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Prairie turnip,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Quinoa,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
European rabbit,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Raccoon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rainbow smelt,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rainbow trout,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Malabar plum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rose hip,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Roselle,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Orange roughy,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sablefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pink salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chum salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Coho salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sockeye salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chinook salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic salmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Salmonberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common salsify,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spanish mackerel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pacific sardine,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Scup,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sea cucumber,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Steller sea lion,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bearded seal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ringed seal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sea trout,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sesbania flower,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
American shad,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Shark,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sheefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sheepshead,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Hedge mustard,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Snapper,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spelt,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spirulina,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Squab,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Squirrel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Greater sturgeon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
White sucker,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pumpkinseed sunfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Swordfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Taro,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Teff,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Tilefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mexican groundcherry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Towel gourd,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Salmonidae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Walleye,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Alaska pollock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Whelk,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Broad whitefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Whitefish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Whiting,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Wild rice,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Tea leaf willow,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Winged bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Yam,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Jicama,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Yautia,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Yellowfin tuna,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Yellowtail amberjack,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pollock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Albacore tuna,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic halibut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Smelt,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Clupeinae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spiny lobster,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Black-eyed pea,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Deer,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Percoidei,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Perciformes,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rabbit,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Beefalo,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Bivalvia,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Flatfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Walrus,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Alaska wild rhubarb,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Oriental wheat,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Yardlong bean,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Great horned owl,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Quail,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Boysenberry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rowal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Jew's ear,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Shiitake,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Purple laver,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Wakame,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Enokitake,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Epazote,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Oyster mushroom,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cloud ear fungus,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Maitake,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ostrich fern,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spot croaker,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sourdock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Tinda,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Atlantic menhaden,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Agave,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Narrowleaf cattail,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Jellyfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Anchovy,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Blue whiting,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Carp bream,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Chanterelle,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sturgeon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Charr,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common dab,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Spiny dogfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Anatidae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Anguilliformes,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
True frog,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Garfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Gadiformes,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Mountain hare,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lake trout,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lemon sole,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Lumpsucker,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Scombridae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Norway haddock,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Norway pout,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Oil palm,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Sago palm,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Persimmon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pikeperch,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pleuronectidae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Rock ptarmigan,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Pacific ocean perch,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Black salsify,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
True seal,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Red algae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Kombu,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Snail,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
True sole,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Catfish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Thistle,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Common Tuna,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Cetacea,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Columbidae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Conch,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Berry wine,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Vodka,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Ice cream,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Vermouth,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Madeira wine,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Nougat,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'green']"
Toffee,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cake,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pizza,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Ymer,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Other snack food,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pastry,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Drage,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Chewing gum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Marzipan,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Salad dressing,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Sauce,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Salt,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cream,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Sugar,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Sausage,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Meatball,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pate,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Sugar substitute,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Meat bouillon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Other meat product,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Whey,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Casein,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Fruit preserve,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Leavening agent,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Marshmallow,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Gelatin,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Water,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Other fish product,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Milk Human,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Dumpling,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Soup,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Syrup,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Remoulade,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Chocolate spread,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Fruit gum,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Meringue,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cocoa butter,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cocoa powder,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Chocolate,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Hot chocolate,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Kefir,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Other fermented milk,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Miso,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Tofu,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Zwieback,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Roe,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cichlidae,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Icing,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Snack bar,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Green turtle,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Energy drink,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Burrito,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Hamburger,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Chili,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Taco,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Tortilla,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Nachos,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Salad,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Dulce de leche,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Topping,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Sweet custard,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Egg roll,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Heart of palm,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Potato chip,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Tortilla chip,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Corn chip,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Hibiscus tea,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Stew,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Gelatin dessert,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Junket,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Falafel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Frybread,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Other frozen dessert,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Lasagna,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Morchella,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pancake,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pectin,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pudding,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Waffle,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Soy milk,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Meatloaf,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cocktail,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Couscous,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Bulgur,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Coffee mocha,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Chimichanga,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Semolina,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Tapioca pearl,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Tostada,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Quesadilla,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Baked potato,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Hot dog,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Spread,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Enchilada,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Nutritional drink,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Other sandwich,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Ketchup,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Breakfast sandwich,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Adobo,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Macaroni and cheese,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Horned melon,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Hushpuppy,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Fruit juice,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Relish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Fruit salad,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Soy yogurt,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Vegetarian food,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cold cut,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Mixed nuts,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Babassu palm,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cupuau,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Shea tree,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Oil-seed Camellia,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Ucuhuba,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Phyllo dough,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Cooking oil,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pie crust,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pie,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Shortening,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Soy cream,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Ice cream cone,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Molasses,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Nance,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Natto,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Ravioli,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Scrapple,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Other pasta dish,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Succotash,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Tamale,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Rice cake,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Tree fern,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Evaporated milk,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Flour,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Akutaq,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Pita bread,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Focaccia,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
Bagel,"['woody', 'herbal', 'medicine', 'dry', 'thyme', 'wood', 'grassy']"
